EVALUATION_ID,STUDENT_ID,YEAR_OF_SURVEY,INSTRUCTOR_ID,COURSE_ID,ANSWER1,ANSWER2,ANSWER3,ANSWER4,ANSWER5
151,100000001,2018,10001,1,5,4,4,5,2
152,100000002,2018,10001,1,3,1,5,4,5
153,100000003,2018,10001,1,5,2,2,4,1
154,100000004,2018,10001,1,2,1,4,4,2
155,100000005,2018,10001,1,3,5,4,5,5
156,100000001,2018,10001,2,4,3,1,4,4
157,100000002,2018,10001,2,4,1,3,4,5
158,100000003,2018,10001,2,5,1,4,5,2
159,100000004,2018,10001,2,4,2,2,1,5
160,100000005,2018,10001,2,3,3,3,4,3
241,100000008,2018,10002,3,3,3,3,3,4
242,100000009,2018,10002,3,5,5,2,3,5
243,100000010,2018,10002,3,5,2,4,2,1
244,100000009,2018,10002,4,5,2,2,4,5
245,100000010,2018,10002,4,1,1,3,5,3
246,100000011,2018,10002,4,3,1,3,3,3
247,100000012,2018,10003,5,2,3,5,2,3
248,100000013,2018,10003,5,4,3,2,3,5
249,100000014,2018,10003,5,3,4,5,2,5
250,100000015,2018,10003,5,1,3,5,2,1
251,100000016,2018,10003,5,2,2,1,5,3
252,100000015,2018,10003,6,4,3,2,4,4
253,100000016,2018,10003,6,3,5,2,2,1
254,100000017,2018,10003,6,4,2,1,3,3
255,100000018,2018,10003,6,2,5,3,4,4
256,100000015,2018,10004,7,1,3,1,3,4
257,100000016,2018,10004,7,5,5,5,5,3
258,100000017,2018,10004,7,3,4,1,5,4
259,100000018,2018,10004,7,4,2,2,5,5
260,100000019,2018,10004,8,5,1,5,4,2
261,100000020,2018,10004,8,4,2,5,2,2
262,100000021,2018,10004,8,4,4,2,5,5
263,100000022,2018,10004,8,1,2,5,3,5
264,100000023,2018,10004,8,3,3,2,3,4
265,100000024,2018,10004,8,5,3,2,5,1
266,100000001,2018,10005,9,2,1,2,3,4
267,100000002,2018,10005,9,1,4,4,1,4
268,100000003,2018,10005,9,4,3,1,3,2
269,100000004,2018,10005,9,3,1,4,2,3
270,100000004,2018,10005,10,1,3,3,1,2
271,100000005,2018,10005,10,1,1,5,5,1
272,100000006,2018,10005,10,2,2,2,1,5
273,100000007,2018,10005,10,5,5,2,1,5
274,100000024,2019,10001,1,1,4,5,4,2
275,100000025,2019,10001,1,4,3,4,5,2
276,100000026,2019,10001,1,2,1,1,4,5
277,100000027,2019,10001,1,3,1,4,1,3
278,100000028,2019,10001,1,3,4,2,1,3
279,100000033,2019,10001,2,3,1,1,3,3
280,100000034,2019,10001,2,1,4,5,1,4
281,100000035,2019,10001,2,4,3,1,2,1
282,100000036,2019,10001,2,1,1,4,4,3
283,100000001,2019,10002,3,5,1,5,3,3
284,100000002,2019,10002,3,1,5,5,5,4
285,100000003,2019,10002,3,5,1,1,1,1
286,100000031,2019,10002,9,5,3,4,1,2
287,100000032,2019,10002,9,4,1,3,1,4
288,100000033,2019,10002,9,2,3,2,4,3
289,100000012,2019,10003,4,2,5,3,3,5
290,100000013,2019,10003,4,4,5,3,4,4
291,100000014,2019,10003,4,5,4,1,5,1
292,100000015,2019,10003,4,4,1,4,5,2
293,100000026,2019,10003,5,5,2,4,4,3
294,100000027,2019,10003,5,2,2,4,4,5
295,100000028,2019,10003,5,4,2,3,3,5
296,100000029,2019,10003,5,1,4,3,2,3
297,100000030,2019,10003,5,1,1,5,3,4
298,100000002,2019,10004,6,5,3,3,2,3
299,100000003,2019,10004,6,5,4,5,3,3
300,100000004,2019,10004,6,3,1,3,1,1
301,100000005,2019,10004,6,4,5,2,5,1
302,100000006,2019,10004,6,4,5,5,2,5
303,100000019,2019,10004,7,1,1,3,5,5
304,100000020,2019,10004,7,1,3,3,2,1
305,100000021,2019,10004,7,4,4,4,1,5
306,100000001,2019,10005,8,1,4,3,2,2
307,100000002,2019,10005,8,1,1,5,4,4
308,100000003,2019,10005,8,4,1,1,2,4
309,100000004,2019,10005,8,3,3,2,5,4
310,100000030,2019,10005,10,3,5,2,5,4
311,100000031,2019,10005,10,5,3,3,3,3
312,100000032,2019,10005,10,1,1,2,5,4
313,100000033,2019,10005,10,2,4,4,4,1
